epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,158.686,0.46529,0.41748,0.96604,0.98949,0.95187,0.98101,0.84416,0.50108,0.42938,1.01747,0.000636762,0.000636762,0.000636762
58,161.434,0.45537,0.39388,0.95437,0.98809,0.96195,0.98264,0.83389,0.55386,0.37019,1.05514,0.000622615,0.000622615,0.000622615
59,164.115,0.46964,0.40844,0.95505,0.97903,0.97405,0.98447,0.84224,0.51295,0.36221,1.01529,0.000608468,0.000608468,0.000608468
60,166.773,0.49551,0.41123,0.96016,0.99178,0.94083,0.98085,0.82902,0.53413,0.43311,1.03725,0.000594321,0.000594321,0.000594321
61,169.376,0.50382,0.40828,0.97515,0.99008,0.95936,0.98475,0.87075,0.56217,0.3754,1.05007,0.000580174,0.000580174,0.000580174
62,172.069,0.45607,0.383,0.95516,0.98672,0.97349,0.98507,0.86469,0.43526,0.33755,0.98434,0.000566027,0.000566027,0.000566027
63,174.821,0.4777,0.39392,0.96269,0.98091,0.97155,0.98227,0.85927,0.47604,0.40336,1.02332,0.00055188,0.00055188,0.00055188
64,177.506,0.45916,0.39073,0.96244,0.99019,0.96426,0.98515,0.87001,0.53057,0.34926,1.0557,0.000537733,0.000537733,0.000537733
65,180.204,0.46514,0.39413,0.95149,0.99526,0.96636,0.9857,0.85975,0.47631,0.31199,1.00088,0.000523586,0.000523586,0.000523586
66,182.943,0.43125,0.38733,0.94982,0.98429,0.97476,0.98517,0.88936,0.50063,0.34727,1.04663,0.000509438,0.000509438,0.000509438
67,185.653,0.43361,0.37691,0.95693,0.9903,0.96607,0.98037,0.87683,0.58474,0.41056,1.0928,0.000495291,0.000495291,0.000495291
68,188.292,0.45037,0.38835,0.95341,0.98952,0.95788,0.98497,0.90761,0.49311,0.34442,1.01823,0.000481144,0.000481144,0.000481144
69,190.905,0.43434,0.37809,0.94184,0.98861,0.96367,0.98176,0.86534,0.57819,0.37727,1.08323,0.000466997,0.000466997,0.000466997
70,193.612,0.4364,0.38224,0.95185,0.9825,0.97647,0.98803,0.89062,0.54053,0.3327,1.04543,0.00045285,0.00045285,0.00045285
71,196.388,0.41298,0.35514,0.93819,0.98504,0.97633,0.98449,0.88046,0.5275,0.33653,1.04647,0.000438703,0.000438703,0.000438703
72,199.086,0.43112,0.36679,0.94129,0.98773,0.98038,0.9852,0.88935,0.49415,0.33075,1.02536,0.000424556,0.000424556,0.000424556
73,201.785,0.40491,0.35926,0.94097,0.98644,0.98033,0.98614,0.90325,0.50793,0.31236,1.03111,0.000410409,0.000410409,0.000410409
74,204.515,0.40879,0.34958,0.93782,0.99324,0.9666,0.98616,0.91695,0.46994,0.30474,1.01467,0.000396262,0.000396262,0.000396262
75,207.169,0.4128,0.35768,0.92835,0.99247,0.96617,0.98554,0.91142,0.45325,0.32455,0.99361,0.000382115,0.000382115,0.000382115
76,209.904,0.41871,0.35109,0.93125,0.99128,0.95942,0.98516,0.90042,0.47733,0.33545,1.01399,0.000367967,0.000367967,0.000367967
77,212.681,0.41533,0.34981,0.94756,0.99329,0.96645,0.98381,0.89246,0.44512,0.31248,0.99525,0.00035382,0.00035382,0.00035382
78,215.344,0.39502,0.34737,0.93088,0.99305,0.96245,0.98549,0.89582,0.41868,0.30599,0.97797,0.000339673,0.000339673,0.000339673
79,218.071,0.36962,0.32622,0.91289,0.99428,0.96251,0.98521,0.92428,0.49632,0.32378,1.03357,0.000325526,0.000325526,0.000325526
80,220.784,0.36301,0.32658,0.91162,0.99379,0.96274,0.98519,0.92021,0.41592,0.28524,0.97662,0.000311379,0.000311379,0.000311379
81,223.477,0.37056,0.312,0.92542,0.99185,0.96669,0.98526,0.90688,0.38837,0.26029,0.95978,0.000297232,0.000297232,0.000297232
82,226.192,0.37083,0.32275,0.92593,0.9935,0.96656,0.98528,0.91807,0.44539,0.27373,0.99732,0.000283085,0.000283085,0.000283085
83,229.073,0.36892,0.3214,0.92334,0.97406,0.98341,0.98522,0.94873,0.42495,0.27992,0.97281,0.000268938,0.000268938,0.000268938
84,231.768,0.37827,0.33166,0.9213,0.98652,0.97739,0.98647,0.92859,0.43555,0.2805,0.97944,0.000254791,0.000254791,0.000254791
85,234.408,0.36383,0.32106,0.91755,0.98444,0.97909,0.98598,0.93141,0.44749,0.29677,0.98631,0.000240644,0.000240644,0.000240644
86,237.002,0.36916,0.32342,0.92219,0.99212,0.96748,0.98496,0.92063,0.46625,0.29482,0.99978,0.000226497,0.000226497,0.000226497
